polish,dutch,tip,favourite
przygotować,bereiden,,
ciało,het lichaam,,
rozczarowanie,de teleurstelling,,
twarz,het gezicht,,
podróżować,reizen,,
wracać,terugkomen,,
zaskoczony,verrast,,
plik,het bestand,,
zbierać,verzamelen,,
spóżnić się,te laat komen,,
kaszleć,hoesten,,
brzuch,de buik,,
śmieszny,grappig,,
cierpliwy,geduldig,,
wąski,smal,,
nudny,saai,,
satysfakcja,de voldoening,,
kolorowy,kleurrijk,,
znajomy,de kennis,,
przelew,de overschrijving,,
skręcać,afslaan,,
grzeszyć,zondigen,,
dostosować,aanpassen,,
modyfikować,wijzigen,,
rozszerzać,uitbreiden,,
bez przerwy,doorlopend,,
dane,gegevens,,
usuwać,verwijder,,
pokazać,tonen,,
opóżnienie,vertraging,,
sukces,gelukt,,
gdyby,indien,,
malować,schilderen,,
rysować,tekenen,,
na czas określony,tijdelijk,,
para (dwoje),stel,,
pochmurno,bewolkt,,
kredyt,de lening,,
długopis,de balpen,,
gorączka,de koorts,,
wybory,de verkiezing,,
rzadko,zelden,,
doświadczenie,de ervaring,,
rozbierać,uitkleden,,
poznać,kennismaken,,
czysty,zuiver,,
oferować,annbieden,,
uczestniczyć,meedoen,,
dać,geven,,
około,ongeveer,,
podążać,volgen,,
wiedziec ,kennen,,
byc w stanie ,kunnen,,
poprzedni,vorige,,
nastepny,volgende,,
kolejny raz ,alweer,,
zle,verkeerd,,
denerwujacy,vervelend,,
blisko ,vlakbij,,
zaprosic,uitnodigen,,
wyglad zewnetrzny,het uiterlijk,,
wynajmowac ,huur,,
zwiedzac - bezoeken,bezoeken,,
podczas,tijdens,,
wyporzyczac,lenen,,
miejsce spotkania ,ontmoetingsplek,,
czytac,lezen,,
rozmiar,de maat,,
lubic,lusten,,
przynajmniej,minstens,,
nastepny,naast,,
brac,nemen,,
nigdy ,nooit,,
nikt ,niemand,,
spieszyc sie ,opschieten,,
para (np. butow) ,het paar,,
chwycic,pakken,,
kazdy,iederen,,
w drodze,onderweg,,
godziny otwarcia,de openingstijden,,
pasowac do/z,passen bij/in,,
placic karta,pinnen,,
plan,de plattegrond,,
doladowac ,oplanden,,
plac ,het plein,,
przyjemnosc,het plezier,,
rozmawiac o...,praten (over),,
zgadywac ,raden,,
reagowac ,reageren,,
padac (deszcz),regenen,,
gigant,de reus,,
wazne,belangrijk,,
dostac ,krijgen,,
kierunek ,de richting,,
prosto,rechtdoor,,
na dole,beneden,,
na gorze,boven,,
w dzisiejszych czasach,tegenwoordig,,
rosnac,groeien,,
zamek blyskawiczny,de rits,,
wymieniac,ruilen,,
przestronny ,ruim,,
ekran ,het scherm,,
pisac ,schrijven,,
zly,slecht,,
zrozumiec,snappen,,
ogladac,bekijken,,
ciekawe,benieuwd,,
nigdzie,nergens,,
czasami,soms,,
wciaz,steeds,,
